corpus,model,retrieval,docs,records,accept,occupancy,acc_scored,correctness,band_correctness
bc5cdr,gpt-oss_20b,lexical,40,156,34,0.21794871794871795,30,0.9666666666666667,0.45714285714285713
bc5cdr,granite4_micro-h,lexical,40,71,5,0.07042253521126761,5,1.0,0.3684210526315789
bc5cdr,llama3.1_8b,lexical,40,162,27,0.16666666666666666,26,1.0,0.296875
bc5cdr,mistral_7b-instruct,lexical,40,119,15,0.12605042016806722,13,1.0,0.40540540540540543
finer,gpt-oss_20b,dense*,40,324,0,0.0,0,,0.3937007874015748
finer,granite4_micro-h,dense*,40,188,0,0.0,0,,0.02857142857142857
finer,llama3.1_8b,dense*,40,691,0,0.0,0,,0.05154639175257732
finer,mistral_7b-instruct,dense*,40,238,0,0.0,0,,0.022222222222222223
geo,gpt-oss_20b,lexical,40,214,136,0.6355140186915887,128,0.2578125,0.13043478260869565
geo,granite4_micro-h,lexical,40,153,31,0.20261437908496732,26,0.15384615384615385,0.027777777777777776
geo,llama3.1_8b,lexical,40,241,109,0.45228215767634855,88,0.11363636363636363,0.0847457627118644
geo,mistral_7b-instruct,lexical,40,178,104,0.5842696629213483,97,0.17525773195876287,0.09523809523809523
lgl,gpt-oss_20b,lexical,40,275,174,0.6327272727272727,150,0.19333333333333333,0.06521739130434782
lgl,granite4_micro-h,lexical,40,111,33,0.2972972972972973,27,0.2222222222222222,0.0
lgl,llama3.1_8b,lexical,40,128,85,0.6640625,68,0.10294117647058823,0.047619047619047616
lgl,mistral_7b-instruct,lexical,40,154,114,0.7402597402597403,97,0.14432989690721648,0.0
linnaeus,gpt-oss_20b,lexical,25,35,7,0.2,6,1.0,0.041666666666666664
linnaeus,granite4_micro-h,lexical,25,127,0,0.0,0,,0.0
linnaeus,llama3.1_8b,lexical,25,0,0,0.0,0,,
linnaeus,mistral_7b-instruct,lexical,25,12,0,0.0,0,,
psytar,gpt-oss_20b,dense,40,248,77,0.31048387096774194,47,0.8085106382978723,0.4125
psytar,granite4_micro-h,dense,40,274,51,0.18613138686131386,31,0.9032258064516129,0.3333333333333333
psytar,llama3.1_8b,dense,40,232,72,0.3103448275862069,42,0.8095238095238095,0.4
psytar,mistral_7b-instruct,dense,40,307,60,0.19543973941368079,39,0.8461538461538461,0.35365853658536583
trnews,gpt-oss_20b,lexical,40,253,183,0.7233201581027668,160,0.16875,0.1935483870967742
trnews,granite4_micro-h,lexical,40,178,66,0.3707865168539326,58,0.10344827586206896,0.06666666666666667
trnews,llama3.1_8b,lexical,40,213,114,0.5352112676056338,99,0.13131313131313133,0.15555555555555556
trnews,mistral_7b-instruct,lexical,40,166,119,0.7168674698795181,99,0.12121212121212122,0.1875
